Review,Brand
Avoid rash driving and keep it in intact condition with regular service maintenance; good moped for daily commute.You will never feel tired with semi long rides. The pillion rider also feel comfortable with large enhanced seating and the mileage in this high fuel cost condition is affordable. The storage unit below seat is spacious as well.,Suzuki
"There are not many but still very important factors1. Maintenance - Never have I received a bill less than 1800. If you get a Grazia servicing it'd cost you no more than 1500 unless there is some additional repairing to be done.2. Mileage is a burn in your pocket. (I get 30 km/l.) since beginning. (bought in 2017) Never gave more than 30 km/l. Even if you raise this to Suzuki service center, they told, you will not get no more service. If you complain they'll say that's not mentioned in the free service. Pay more.",Suzuki
"1. Pricey one.2. Riding is comfortable like a car. 3. Look and performance wise good but the only draw back is heating, battery complaint, Produce over heat while running it would affect the co passenger, second battery - I bought a bike one month ago with in a month the battery goes drain, self starter is important in scooter type bikes, need improvement on this area.4. Apart from battery and heating complaint it is a nice vehicle. Pros: Comfortable for ladies, old age people.Cons: Battery complaint heating issue.",Suzuki
"Best 125 cc no nonsense scooter. It got the practicality, performance, features, reliability, fuel efficiency. Rode it around 10000 km's, usually cruising around 60-70 km/h, the engine is very refined takes only few seconds to 60 km/h, easy to maneuver in start stop traffic, got everything for a daily commuter.",Suzuki
"I spend extra money and bought special edition and what they don’t even give parking lock when I ask the service center they said you don’t get in special edition and  have to spend 800 rupees extra for it. There is no engine kill switch which is also disappointing you will get mileage of 30 to 35 km per liter, no point of external fuel filler still you have to get up from bike and use your key to open the fuel tank to fill the fuel.",Suzuki
"Owner Drum Suzuki Access 125 brake special edition, but shows access125-bs-iv in Rc as the company did not update details properly with RTO . (done 6200 plus as of now.) had a high opinion of Suzuki, before I bought this bad bike. Advertisement Is misleading. It's a drunkard, giving only 30 km/l max. Both warranty (and extended warranty) is misleading/un-claimable, since their conditions are completely deceptive, like valid only when regular servicing done every 3000 km or 3 months whichever is earlier. At 30 km/l, you would definitely not ride that much or if somebody rides they are not valuing their money. And every time, you report your dissatisfaction, the service center will convince you that everything is alright.  Of course, the courts of law will definitely rescue you, if you have the will to sue and patience to wait. Add high insurance cost for 5 years, but value becomes nil by 5 years. Good pick up, bad braking, unless you are good driver like me. Bad lighting, neither low nor high beam on correct angle, and only one beam can be adjusted properly. Good long seating. Bad shock absorbers, especially on road bumping, worst with pillion rider. Bad riding when 40 km/h crossed with pillion, good speed  riding when single on highways (but not always as shocks and brakes are not that good)The real advice is, don't buy this bike if you value your money.",Suzuki
"We bought the Bluetooth edition one on 10th Feb 2021, within two days the Bluetooth console mirror had some scratches from the corners, when we raise this concern to the dealer, they said, it may be due to external factors But the cracks are from internal and within these two-three days, we have never kept the scooter outside our home, also even in home we covered it with the bike cover, if these guys didn't provide solution, we will take this to consumer court and get a justice for this.",Suzuki
"I got on December 31 2020 but I ride in speed range of 45-55, I check mileage from full to reserve (blinking in display) first got 56, second got 60, third time got 61. Service center cut my headlight wire during first service you came to know from other showroom people they also showed me what all they did and packing they have done to fix chrome design in headlight. I never faced an handle shaking issue when heavy truck pass me in very high speed (in activa 125 I have faced this issue)",Suzuki
"After lot of research and throat cut comparison i have purchased this bike, look wise it is killer, comfort good, however the biggest or i should say the worst part is  it's mileage, it is really funny to see companies tag line 'kam pita he"" however i am not even getting 35 km per liter mileage. I have checked with my other friends too and they also have the same issue with this bike.",Suzuki
"Suzuki access is one of the most appealing moped with every things are superior than activa and jupiter . 125 cc larger boot,  mileage is 55 in city, best in class. Telescopic suspension, low back pain, low maintenance there are lots of positive point to go for access 125 .. I am love in it .. I strongly recommend to buy it.",Suzuki
Access  is my first bike I am using it since 2011 for daily for the distance of 20km(i.e. 40 km) per day. I didn't get any back pain and any health issues riding 40km per day on this bike and also didn't get any bike issues.. But after 10th year got belt problem for bike. So I am planning to replace my bike with new Suzuki access model..,Suzuki
1.Buying experience:- no resale market of this scooty 2.Riding experience:- fuel empty on mid way without fuel reservation system 3. Look :- over all good 4. Service and maintenance is costly and frequently. 5.Pros :- pick of this bike good but cons :- service and maintenance is very bad and costly. Over all i’m not happy with access 125.,Suzuki
A better-looking scooter for daily commuters than the traditionally bought activa by millions of family already. Not worth comparing 110 with 125 but with not much of a price difference one can easily go with access 125 bs6. But i was disappointed with its mileage which was not as expected or claimed by the company. But the power and torque figures in real-world play their part.,Suzuki
"I bought access in the year 2013, the initial experience was good until it starts giving engine compression problem. The vehicle used to just turn off in the middle of the road without any warning. I pretty much pushed it more than driving. Replaced the engine cylinder and piston for around 10000 rs, but even after that it still gave me problems. So if you are thinking about buying, please ask existing owners. Do not just blindly believe the dealers. Hope this helps.",Suzuki
Very bad service experience. Sudden starting problem. It is common for 125 due to its technology.Need to have compressed air and for that you have to go to mechanic.Suddenly engine stop in running condition . Serious problem when you are at fast speed.Low mileage 30km. Never go for it. Very bad service experience. Sudden starting problem. I,Suzuki
"Good in buying well priced excellent in riding like offroad,onroad, tours etc...Great performance, stylish look, attractive colours Giving best mileage, using less petrol,go more problems in my scooty Haven't got a problem till no wood engine, good design, good material,pollution-free...Good maintenance and servicing ",Suzuki
"1. I think according to price the scooty is too good.2. My riding experience is nice, I have travelled 27 km within 10 mins.3. Comfort for 3 people for long ride.4. Nice service.5. Pick is very good, only there is a issue in self start.",Suzuki
"Suzuki access is a package in itself - great machinery, great post sales service, not too much wear and tear (depends on your handling too), etc. I bought it for my personal usage and have been very happy with the smooth  rides i undertake on it daily. The efficiency is great even if its overloaded at times. This is the 2nd time i have bought suzuki access and have been very happy with the performance.",Suzuki
"I bought suzuki access after reading the expert reviews. I also test drive this scooter 2 times. But after riding 30 kms in this scooter i am not satisfied. I drove old honda activa but that feel is missing in this scooter. Access is good but not the best.Pros: 1. Seat height (uncomfortable for short people)2. Mileage 3. Smooth ride, etc.Con's: 1. Front hand bar less weight leads to waving in wind 2. Little bouncy ride/little vibrations.",Suzuki
"This vehicle has more pros than cons.  Usage period: 10 months Pros: mileage i got around 50-55km if you maintain speed at 60kmph. Storage space is awesome can hold 2 helmets . One full face and one half. Always go for disc version , excellent breaking it is best  for traffic sudden breaking and highway cornering. It almost saved my life twice. Hats off to excellent breaking. Even at 50km if you apply a sudden break (front disc break ), the vehicle will be in control , will not skid. Front telescopic suspension is great. (disc + telescopic makes the vehicle not to skid)Pickup is great. travelled 422 km in a single day, pick up, braking , engine sound all perfect no issues.After sales the service is excellent.No need to worry all spares are readily available. Price is also same as honda , tvs. Cons: Rear tyre's when ages ( 8 months) skids a bit . In rainy reason you can feel it .Also some times , when you apply sudden disc break the front mud guard touches to the front nose of the fibre  body. Which tends to crack (very rarely- depends upon person driving / way of applying break).Overall its nice 2 wheeler. Blindly go for it. This vehicle is recommended only for gentle and smooth drivers and not for sporty driving.Hope this review will be useful.",Suzuki
"Comparing with honda acitva, jupiter this one suzuki access 125 has very bad experience. 1st - seat is width wise broad which becomes very uncomfortable to seat. 2nd suspension is very hard(not for people average 60-70 kg) 100kg above can get good suspension due to its hardness. Foot-board is on bit higher level which is not comfortable even for me a tall guy. Petrol cap is inside seat.  So overall 1.Bad seat, 2. Bad foot-board height 3.Bad suspension. 4. Bad petrol filling design. Regretting much to have this scooty.",Suzuki
Vehicle compressor not working proper 12000/_ paid for maintenance at shiv suzuki Chinchwad pune after same problem suffering. My 4 friends in my society having same problem Fitter suggest me 100ml oil drop in petrol tank every month. Front mudguard crack at mounting area i think design is weak. Overall this bike failed by suzuki.,Suzuki
"Excellent mileage. Maintenance cost is very low. You will have a comfortable seating for those who sit in the back. I'm 5'11 tall for me, i think leg space is bit low. You can carry groceries items very easily. You can carry a rice bag ahead and travel happily. Pickup is also nice. Bike can go upto 90kmph easily.",Suzuki
We brought the scooter from chennai abt suzuki at nandanam. The staff were very polite and patient in explaining all the features. Scooter rides smooth in city with good pick up speed. Looks neat and premium. Mileage is 40 kmpl. For heavy people the scooter might feel out of balance when riding due to seat shape. Breaking is a bit uncomfortable at high speeds. Good for single rider use and commuting to office and shopping.,Suzuki
Around 1 year ago i have bought suzuki access 125 from my local showroom on that time it was costing me 67000 on road price. I had a very good experience while riding my access 125 because it has a awesome pickup out of every scooty and comfortable  for driver to ride and had a very good average around 50. It doesn't require any maintenance apart from engine oil. I gave this scooty 4 stars out of 5 just because of his headlight because its kind of old-fashion which is usually not liked by young generation.,Suzuki
"Long term review, purchased all new access a year back 1. Lightest 125cc scooter in the country. Its weight is 103 kgs only, that is why its mileage is high.2. Long and wide seat , very comfortable for my small family. Very huge under seat storage. My full face stud ninja fits in it without touching the seat. Also my lenovo laptop also fits in it without any hassle. 3. Front suspension is very good and real suspension is very soft and comfortable when i drive with my family.4. I was worried about the air filter issues in old access, but it was fixed in this new model. I experienced it when i drove my new access on a rainy day in delhi, with all roads full of water. It came out of deep waters without any issues. 5. Pilot lights and frond head light always remains on in this model. But they are not connected to battery, hence no issues of battery discharge. 6. Speedometer is analog, but digital display to show number of kilometers. Also has two digital trip meters which helps to know the distance between two places. 7. Handle is tall, making very upright riding position, no tiredness even after running on long journeys.8. I drove it continuously for 6 hours at the speed of 80kmph with no sign of engine effort. Top speed reached is 95kmph but since its very light weight, it is very risky. Activa and jupiter cannot go beyond 80kmph9. Mileage i am getting is 60kmpl on highways, and 50kmpl during my city travel. I travel around 40km daily on this scooter. 10. Four free service offered by company with 5 years extended warranty on engine at 700rs---Cons-1. Not fit for ladies as its taller than activa 125 and jupiter. Also the pickup is very high which ladies might not be able to handle while it starts moving from stand still. 2. After every 200 kms the accelerator setting is disturbed and had to be returned. Else it will stop when throttle is down and you may stuck in the traffic. 3. Self start is not as good as activa. 4. Sometimes it loses power while running on road. Which comes back after some time while we accelerate continuously. Reported similar issues from activa and jupiter after running 12000 kms. 5. Suzuki showrooms are limited in numbers. And they charge high for insurance. Conclusion- I use it for my long leisure journey (500kms) and daily commute to office, and also family ride to supermarkets. It has great power, comfortable sitting posture, best shock absorbers, lightest to be handled, has largest under seat storage, and giving best mileage. I'm satisfied with my purchase as it fits all my purpose which currently no other scooter can do.",Suzuki
"I bought this scooter on feb 2020, after so much of research i felt this is the best scooter and i went for suzuki access 125 bs6, actually power of the scooter and mileage is  very good, but i faced some issues, first  one day horn  was not working and next day it got ready, and after few days there was problem in battery, i had issue of self start even if i do kick start at the morning and i ride for around 15 km for my office again it wont take self start, i complained about it in show room some 2 -3 times when i went they convenience me by giving full accelerator and after that it took self start, but again in 2 days same issue, they told its because of cold climate, after my 3rd visit they gave me some old stand by battery and told we will replace the battery and it took around 20 days to receive the battery, now any ways its working properly, but now the right side bulb below the indicator is not working. I called service center they told i have to pay to  bulb , so i cant understand why this company is using such local battery and accessories.",Suzuki
"I had purchased access 125 model 2008 only 5000 kms run i purchased recently on this year . That was waste and worst vehicle i purchased from know person that fellow sell me i had run on 100 or 200 first starting problem when purchased problem is there he tell me this is not used vehicle you have luck 2 purchase i have taken 20000 Indian rupees  and send vehicle with my brother he gone to mechanic  actually he is my brother friend  .When vehicle ready bill 2500 ok and only 4 days running after same problem and i my self  gone to mechanic check engine oil   and oil not there he fill oil ok after four days same starting problem and heavy smoke from back side and i gone to mechanic he checked oil .He tell me bro oil is over in engine i ask him tell me one  thing how is vehicle no problem, he tell me good news that this vehicle is failed and this bore and piston is gone  waste vehicle your purchased please don't purchase this vehicle ok, worst and waste vehicle access 125.",Suzuki
"I bought this scooter 76,000 rupees in 2017, this is very good scooter for men and women, it gives best riding experience in city and highway, it looks good and it gives a best performance. Pros: Mileage, Performance,  Looks good, Seating, Charging port, Leg space. Cons: Need to improve lighting, Improve shock absorbers.",Suzuki
