,review,Bike
0,Avoid rash driving and keep it in intact condition with regular service maintenance; good moped for daily commute.You will never feel tired with semi long rides. The pillion rider also feel comfortable with large enhanced seating and the mileage in this high fuel cost condition is affordable. The storage unit below seat is spacious as well.,Access
1,"There are not many but still very important factors1. Maintenance - Never have I received a bill less than 1800. If you get a Grazia servicing it'd cost you no more than 1500 unless there is some additional repairing to be done.2. Mileage is a burn in your pocket. (I get 30 km/l.) since beginning. (bought in 2017) Never gave more than 30 km/l. Even if you raise this to Suzuki service center, they told, you will not get no more service. If you complain they'll say that's not mentioned in the free service. Pay more.",Access
2,"1. Pricey one.2. Riding is comfortable like a car. 3. Look and performance wise good but the only draw back is heating, battery complaint, Produce over heat while running it would affect the co passenger, second battery - I bought a bike one month ago with in a month the battery goes drain, self starter is important in scooter type bikes, need improvement on this area.4. Apart from battery and heating complaint it is a nice vehicle. Pros: Comfortable for ladies, old age people.Cons: Battery complaint heating issue.",Access
3,"Best 125 cc no nonsense scooter. It got the practicality, performance, features, reliability, fuel efficiency. Rode it around 10000 km's, usually cruising around 60-70 km/h, the engine is very refined takes only few seconds to 60 km/h, easy to maneuver in start stop traffic, got everything for a daily commuter.",Access
4,"I spend extra money and bought special edition and what they don’t even give parking lock when I ask the service center they said you don’t get in special edition and  have to spend 800 rupees extra for it. There is no engine kill switch which is also disappointing you will get mileage of 30 to 35 km per liter, no point of external fuel filler still you have to get up from bike and use your key to open the fuel tank to fill the fuel.",Access
5,"Owner Drum Suzuki Access 125 brake special edition, but shows access125-bs-iv in Rc as the company did not update details properly with RTO . (done 6200 plus as of now.) had a high opinion of Suzuki, before I bought this bad bike. Advertisement Is misleading. It's a drunkard, giving only 30 km/l max. Both warranty (and extended warranty) is misleading/un-claimable, since their conditions are completely deceptive, like valid only when regular servicing done every 3000 km or 3 months whichever is earlier. At 30 km/l, you would definitely not ride that much or if somebody rides they are not valuing their money. And every time, you report your dissatisfaction, the service center will convince you that everything is alright.  Of course, the courts of law will definitely rescue you, if you have the will to sue and patience to wait. Add high insurance cost for 5 years, but value becomes nil by 5 years. Good pick up, bad braking, unless you are good driver like me. Bad lighting, neither low nor high beam on correct angle, and only one beam can be adjusted properly. Good long seating. Bad shock absorbers, especially on road bumping, worst with pillion rider. Bad riding when 40 km/h crossed with pillion, good speed  riding when single on highways (but not always as shocks and brakes are not that good)The real advice is, don't buy this bike if you value your money.",Access
6,"We bought the Bluetooth edition one on 10th Feb 2021, within two days the Bluetooth console mirror had some scratches from the corners, when we raise this concern to the dealer, they said, it may be due to external factors But the cracks are from internal and within these two-three days, we have never kept the scooter outside our home, also even in home we covered it with the bike cover, if these guys didn't provide solution, we will take this to consumer court and get a justice for this.",Access
7,"I got on December 31 2020 but I ride in speed range of 45-55, I check mileage from full to reserve (blinking in display) first got 56, second got 60, third time got 61. Service center cut my headlight wire during first service you came to know from other showroom people they also showed me what all they did and packing they have done to fix chrome design in headlight. I never faced an handle shaking issue when heavy truck pass me in very high speed (in activa 125 I have faced this issue)",Access
8,"After lot of research and throat cut comparison i have purchased this bike, look wise it is killer, comfort good, however the biggest or i should say the worst part is  it's mileage, it is really funny to see companies tag line 'kam pita he"" however i am not even getting 35 km per liter mileage. I have checked with my other friends too and they also have the same issue with this bike.",Access
9,"Suzuki access is one of the most appealing moped with every things are superior than activa and jupiter . 125 cc larger boot,  mileage is 55 in city, best in class. Telescopic suspension, low back pain, low maintenance there are lots of positive point to go for access 125 .. I am love in it .. I strongly recommend to buy it.",Access
10,Access  is my first bike I am using it since 2011 for daily for the distance of 20km(i.e. 40 km) per day. I didn't get any back pain and any health issues riding 40km per day on this bike and also didn't get any bike issues.. But after 10th year got belt problem for bike. So I am planning to replace my bike with new Suzuki access model..,Access
11,1.Buying experience:- no resale market of this scooty 2.Riding experience:- fuel empty on mid way without fuel reservation system 3. Look :- over all good 4. Service and maintenance is costly and frequently. 5.Pros :- pick of this bike good but cons :- service and maintenance is very bad and costly. Over all i’m not happy with access 125.,Access
12,A better-looking scooter for daily commuters than the traditionally bought activa by millions of family already. Not worth comparing 110 with 125 but with not much of a price difference one can easily go with access 125 bs6. But i was disappointed with its mileage which was not as expected or claimed by the company. But the power and torque figures in real-world play their part.,Access
13,"I bought access in the year 2013, the initial experience was good until it starts giving engine compression problem. The vehicle used to just turn off in the middle of the road without any warning. I pretty much pushed it more than driving. Replaced the engine cylinder and piston for around 10000 rs, but even after that it still gave me problems. So if you are thinking about buying, please ask existing owners. Do not just blindly believe the dealers. Hope this helps.",Access
14,Very bad service experience. Sudden starting problem. It is common for 125 due to its technology.Need to have compressed air and for that you have to go to mechanic.Suddenly engine stop in running condition . Serious problem when you are at fast speed.Low mileage 30km. Never go for it. Very bad service experience. Sudden starting problem. I,Access
15,"Good in buying well priced excellent in riding like offroad,onroad, tours etc...Great performance, stylish look, attractive colours Giving best mileage, using less petrol,go more problems in my scooty Haven't got a problem till no wood engine, good design, good material,pollution-free...Good maintenance and servicing ",Access
16,"1. I think according to price the scooty is too good.2. My riding experience is nice, I have travelled 27 km within 10 mins.3. Comfort for 3 people for long ride.4. Nice service.5. Pick is very good, only there is a issue in self start.",Access
17,"Suzuki access is a package in itself - great machinery, great post sales service, not too much wear and tear (depends on your handling too), etc. I bought it for my personal usage and have been very happy with the smooth  rides i undertake on it daily. The efficiency is great even if its overloaded at times. This is the 2nd time i have bought suzuki access and have been very happy with the performance.",Access
18,"I bought suzuki access after reading the expert reviews. I also test drive this scooter 2 times. But after riding 30 kms in this scooter i am not satisfied. I drove old honda activa but that feel is missing in this scooter. Access is good but not the best.Pros: 1. Seat height (uncomfortable for short people)2. Mileage 3. Smooth ride, etc.Con's: 1. Front hand bar less weight leads to waving in wind 2. Little bouncy ride/little vibrations.",Access
