Subtopic,Count,Body / Design / Looks/ Style,Engine / Performance / Speed,Service & Maintenance,"Special Feature, New feature",Competittion,Ride experience / Comfortability,"Price, Cost, Buying"
Riding Experience and Road Conditions,1269,,,,,,Riding Experience and Road Conditions,
Vehicle Buying Experience,685,,,,,,,Vehicle Buying Experience
Vehicle Maintenance and Component Considerations,559,,,Vehicle Maintenance and Component Considerations,,,,
Vehicle Starting Issues and Engine Problems,520,,Vehicle Starting Issues and Engine Problems,,,,,
Vehicle Body and Design Considerations,355,Vehicle Body and Design Considerations,,,,,,
Positive Vehicle Experience and Appreciation,354,,,,,,Positive Vehicle Experience and Appreciation,
"Mileage and Scooter Comparison, with emphasis on Honda Activa",316,,"Mileage and Scooter Comparison, with emphasis on Honda Activa",,,"Mileage and Scooter Comparison, with emphasis on Honda Activa",,
"Comfort and Quality of Scooter Seating, particularly for long rides",277,,,,,,"Comfort and Quality of Scooter Seating, particularly for long rides",
Vehicle Service and Maintenance,208,,,Vehicle Service and Maintenance,,,,
Suzuki Bikes and Riding Experiences,181,,,,,,Suzuki Bikes and Riding Experiences,
Special Edition Features and Characteristics,130,,,,Special Edition Features and Characteristics,,,
Vehicle Engine Performance and Fuel Efficiency,105,,Vehicle Engine Performance and Fuel Efficiency,,,,,
Vehicle Lighting and Design Features,90,Vehicle Lighting and Design Features,,,,,,
Performance and Features,68,,Performance and Features,,Performance and Features,,,
Issues and Experiences with Scooter Service and Performance,58,,Issues and Experiences with Scooter Service and Performance,Issues and Experiences with Scooter Service and Performance,,,,
Features and Impressions of New Suzuki Scooter,50,,,,Features and Impressions of New Suzuki Scooter,,,
Features and Buying Considerations,42,,,,Features and Buying Considerations,,,Features and Buying Considerations
Positive Aspects of Riding a Scooter,24,,,,,,Positive Aspects of Riding a Scooter,
Riding Experience and Impressions,21,,,,,,Riding Experience and Impressions,
Scooter Features and Components,14,,,,Scooter Features and Components,,,
