,Quarter,Topic 1,Topic 2,Topic 3,Topic 4,Keebler
0,Q1-18,"['love', 'good', 'keebler', 'order', 'fast', 'switzerland', 'find', 'ship', 'pleased', 'fell']","['chocolate', 'white', 'good', 'enjoy', 'box', 'bite', 'honey', 'flavor', 'yummy', 'eat']","['recommend', 'worried', 'expect', 'delicious', 'product', 'waistline', 'well', 'lol', 'arrive', 'break']","['bar', 'size', 'texture', 'keebler', 'taste', 'flavor', 'money', 'normal', 'standard', 'ratio']",0.540138889
1,Q2-18,"['love', 'buy', 'box', 'favorite', 'mini', 'thank', 'happy', 'like', 'chocolate', 'good']","['expire', 'chocolate', 'break', 'date', 'dry', 'expiration', 'product', 'close', 'month', 'buy']","['good', 'taste', 'awful', 'candy', 'past', 'sugar', 'slight', 'condense', 'white', 'milk']","['great', 'package', 'purchase', 'grocery', 'enjoy', 'store', 'regular', 'price', 'value', 'compare']",0.308636364
2,Q3-18,"['arrive', 'want', 'good', 'local', 'find', 'try', 'chocolate', 'taste', 'delicious', 'keebler']","['melt', 'purchase', 'good', 'arrive', 'love', 'granddaughter', 'stripe', 'black', 'hard', 'disappointed']","['eat', 'household', 'ration', 'yum', 'stripe', 'black', 'good', 'melt', 'purchase', 'arrive']","['good', 'supermarket', 'box', 'delicious', 'poor', 'small', 'money', 'weretoo', 'respect', 'real']",0.334930769
3,Q4-18,"['love', 'trick', 'treater', 'product', 'speedy', 'delivery', 'description', 'describe', 'white', 'order']","['great', 'love', 'product', 'strawberry', 'purchase', 'husband', 'daughter', 'cookie', 'family', 'order']","['low', 'high', 'sodium', 'cracker', 'opportunity', 'meter', 'package', 'good', 'come', 'let']","['fresh', 'ready', 'box', 'access', 'distribute', 'easy', 'desk', 'counter', 'set', 'excited']",0.635192308
4,Q1-19,"['product', 'fast', 'delivery', 'awesome', 'amazing', 'exceptional', 'chocolate', 'enjoy', 'bar', 'good']","['love', 'box', 'chocolate', 'candy', 'november', 'husband', 'live', 'het', 'purchase', 'date']","['chocolate', 'like', 'fresh', 'delicious', 'order', 'package', 'kid', 'great', 'withe', 'adult']","['holiday', 'love', 'chocolate', 'find', 'christmas', 'treat', 'lucky', 'free', 'overseas', 'nougat']",0.542603704
5,Q2-19,"['price', 'great', 'chocolate', 'look', 'snack', 'convenient', 'convenience', 'enjoy', 'display', 'family']","['terrible', 'delivery', 'great', 'acquaintance', 'woman', 'stocking', 'personnel', 'man', 'gift', 'etc']","['box', 'buy', 'flavor', 'keebler', 'sale', 'like', 'regular', 'chocolate', 'love', 'pay']","['good', 'taste', 'keebler', 've', 'little', 'juicy', 'food', 'caramel', 'bit', 'salt']",0.56635
6,Q3-19,"['eat', 'awesome', 'market', 'price', 'variety', 'product', 'pack', 'good', 'order', 'fresh']","['cracker', 'keebler', 'butter', 'peanut', 'box', 'snack', 'year', 'expect', 'stuff', 'syrup']","['peanut', 'cracker', 'butter', 'product', 'cheddar', 'club', 'flour', 'grandchild', 'pack', 'eat']","['good', 'price', 'corn', 'fructose', 'high', 'syrup', 'lot', 'meal', 'customer', 'service']",0.505526316
7,Q4-19,"['love', 'chocolate', 'perfect', 'size', 'price', 'one', 'stale', 'small', 'favorite', 'taste']","['good', 'great', 'eat', 'chocolate', 'watch', 'buy', 'package', 'little', 'smooth', 'shipping']","['bar', 'like', 'box', 'buy', 'perfect', 'come', 'keebler', 'melt', 'get', 'friend']","['box', 'great', 'cracker', 'flavor', 'taste', 'different', 'pack', 'amazon', 'think', 'butter']",0.524209434
8,Q1-20,"['great', 'white', 'bar', 'candy', 'chocolate', 'buy', 'keebler', 'love', 'price', 'item']","['box', 'fresh', 'break', 'cracker', 'arrive', 'product', 'yummy', 'good', 'quality', 'eat']","['great', 'love', 'price', 'cracker', 'package', 'chocolate', 'snack', 'pack', 'value', 'open']","['good', 'great', 'order', 'buy', 'friend', 'keebler', 'amazing', 'snack', 'wonderful', 'chocolate']",0.42295
9,Q2-20,"['good', 'great', 'chocolate', 'product', 'buy', 'snack', 'order', 'time', 'arrive', 'kid']","['cookie', 'time', 'get', 'order', 'like', 'fresh', 'come', 'keebler', 'store', 'box']","['cracker', 'taste', 'break', 'order', 'keebler', 'stale', 'cookie', 'filling', 'club', 'flavor']","['package', 'open', 'pack', 'expiration', 'thank', 'product', 'eat', 'box', 'cracker', 'wrong']",0.172456061
