source,comment,Product,date
Amazon,"How do you write a review on Oreos?  Deliciousness in a package.  How do you want to eat yours?  Any way but with milk for me.  I think having pieces of broken cookie crumbs in milk is gross, but i hate milk anyway, good thing this review is for cookies and not milk, cos the cookies are awesome!",A,2023-03-15 00:00:00.000000
Amazon,I like this cookies because it satisfies your hunger.,A,2023-03-31 00:00:00.000000
Amazon,"I love buying this bundle, because it's usually good price and my kids love Oreos, so I know I have them on hand when I need them.",A,2023-03-11 00:00:00.000000
Amazon,What's not to like you can make Oreos into basically anytime snacks it is not unfavorable at all.You should have this in your pantry ready for guests and for a snack when you are done with chores as kind of a treat.,A,2023-03-14 00:00:00.000000
Amazon,This is on our monthly must have list!,A,2023-03-18 00:00:00.000000
Amazon,Love that I can get things like this at a great price vs going to the grocery store.,A,2023-03-05 00:00:00.000000
Amazon,What can I say? They are Oreos! Who doesn't love Oreos!,A,2023-02-20 00:00:00.000000
Amazon,why did i order so much. I really need to stop eating junk food. diet starts tomorrow?,A,2023-02-20 00:00:00.000000
Amazon,Got Milk.,A,2023-02-24 00:00:00.000000
Amazon,I don't know what I'm suppose to say good oreo cookies.,A,2023-02-16 00:00:00.000000
Amazon,The is the most economical way to buy Oreo’s!They are alway fresh!,A,2023-01-29 00:00:00.000000
Amazon,"Packaged well. Arrived in tacked, no damaged (cookies were all whole). Was basically fresh, usual taste for this brand of cookie, and very much enjoyed by all. Value for the money was average as can get these on sale at times at a near by store for about the same price if not less.",A,2022-12-20 00:00:00.000000
Amazon,great,A,2023-02-05 00:00:00.000000
Amazon,"If i buy Oreo from grocery store, they are fresh. But, amazon’s oreo felt like old biscuits out of a box. Some oreos were also crushed into pieces when i opened up.",A,2023-04-01 00:00:00.000000
Amazon,Everyone loves Oreos. You can’t go wrong. I sent them to my grandkids in Arizona from Michigan. Good deal for a 3 pack,A,2023-01-13 00:00:00.000000
Amazon,Oreos are one of my favorite cookies. These tasted fresh and they were packaged well.,A,2023-01-14 00:00:00.000000
Amazon,"Oreo's are the main reason I am overweight, maybe I shouldn't eat them all in one sitting.",A,2023-01-13 00:00:00.000000
Amazon,"Who doesn’t love Oreos once in awhile?  Fresh, tastes awesome, and resealable package.  Perfect and arrived not all broken up too",A,2023-01-08 00:00:00.000000
Amazon,Yum.,A,2023-01-22 00:00:00.000000
Amazon,Great value. Good ole oreos,A,2023-01-14 00:00:00.000000
Amazon,"I was worried that these would arrive all broken up, but Amazon and Nabisco came through, lol. All 3 packages arrived in pristine condition and were very fresh. That's says a lot that will make me purchase them again!",A,2022-12-08 00:00:00.000000
Amazon,Excellent,A,2022-12-05 00:00:00.000000
Amazon,Writing a review on an Oreo cookie is like writing a review on air.  Everyone loves them and you don't need to say anything further.  My only focus is on the convenience of ordering and the price.  I got this 3-pack on the Amazon Warehouse so the price was just good enough to order these online instead of going to the store.  God bless you Amazon.,A,2022-10-29 00:00:00.000000
Amazon,"I sent this to my dear friend on her birthday - I knew she loves Oreos - to surprise her.  I knew I could count on Amazon to deliver them on the right day.  She loved the thought, and that she got them on her birthday.  I can't add any more about Oreos, they are awesome as always.  Thank you!",A,2022-10-16 00:00:00.000000
Amazon,See add a headline,A,2022-11-06 00:00:00.000000
Amazon,My grandson was so happy he got his favorite cookies shipped to his door step,A,2022-12-07 00:00:00.000000
Amazon,I would get this again was great for the family the 3 pack,A,2022-12-08 00:00:00.000000
Amazon,Cookies are good. A little pricey.  Delivered to the wrong apartment. Fortunately the tenant was honest and brought them to me!!,A,2022-09-21 00:00:00.000000
Amazon,We get these alot we all love Oreos andit a great buy,A,2022-12-04 00:00:00.000000
Amazon,You can’t go wrong with Oreo Cookies!,A,2022-12-10 00:00:00.000000
Amazon,These are my favorite cookies. Great flavor and they stay fresh,A,2022-11-25 00:00:00.000000
Amazon,Sales price for staple food item. Good value for the money.,A,2022-09-16 00:00:00.000000
Amazon,Oreos are a hit in this family!,A,2023-02-06 00:00:00.000000
Amazon,"They taste great and feel crunchy! I've already finished a pack of them and its only been a few days. If you're looking down here for conformation, you've got it. Go and buy them, you won't regret it!",A,2022-10-06 00:00:00.000000
Amazon,Just as stated,A,2022-12-06 00:00:00.000000
Amazon,So when I ordered these I ordered the pack of 3 and it kept saying my order wasn't going through I ended up with 6 packs of oreos.,A,2022-10-25 00:00:00.000000
Amazon,Ordered these for my nieces and nephew. Promptly got complaints from my sister on the amount of cookies that arrived. The kids were overjoyed and I am still their favorite aunt. Winning all around.,A,2022-10-10 00:00:00.000000
Amazon,Totally love these cookies. And I'll  be buying these  again.,A,2022-11-13 00:00:00.000000
Amazon,"I only bake with them 9nce a year, and never in ice cream. Oreos are dairy free, so I order them for 3 of my grands, and an extra one for me, that I hide!",A,2022-10-02 00:00:00.000000
Amazon,I love Oreos.... it's a great cookie especially with tea or coffee but actually anytime is a great time for Oreos. These arrived next day and was a great value. You get 3 family size packages. They also have a great expiration date which is 5 month from now for me (Nov. 2022) which means no need to gobble them down... (unless I want to ...lol.) I've open one package and only found 1 broken cookie which is also great because I have found more in the packages I've bought from the grocery. Would buy again...,A,2022-06-13 00:00:00.000000
Amazon,It was ok.. just too much money I get it yes 3 for 10 but idk,A,2022-08-01 00:00:00.000000
Amazon,great as always,A,2022-08-29 00:00:00.000000
Amazon,"Can’t go wrong with Oreos. Great flavor. We’ve eaten 1 package and several cookies had no cream, but the cookie part is my favorite so not a problem.",A,2022-09-24 00:00:00.000000
Amazon,"The box was delivered promptly - the driver is not at fault. When I opened the package two of the ten-pack boxes inside were broken and cans were rolling all over the place. Fortunately, none were burst.",A,2022-05-30 00:00:00.000000
Amazon,"A pleasant purchase overall but be mindful if you would like to store it for a long period of time, it would be better to purchase from local stores, as what I received would expire in less than 2 months from the day that I got my hands on.",A,2022-05-13 00:00:00.000000
Amazon,Thank You,A,2022-11-07 00:00:00.000000
Amazon,Fresh and tastes as great as always.,A,2022-10-18 00:00:00.000000
Amazon,"I think the markup is a little bit high for what I paid the other store, but like I said it's Oreos! My favorite cookie!",A,2022-09-03 00:00:00.000000
Amazon,Was yummy,A,2022-10-25 00:00:00.000000
Amazon,"These are as fresh as from the grocery store, and last a long time in the freezer. What's not to love about Oreos at a bargain?",A,2022-08-30 00:00:00.000000
Amazon,OREOS YOUR THE BEST COOKIE EVER STILL,A,2022-10-08 00:00:00.000000
Amazon,Self explanatory,A,2022-10-21 00:00:00.000000
Amazon,Very fresh and crisp. I would buy them again! Not cracked either!,A,2022-09-26 00:00:00.000000
Amazon,Good deal for a good price shipping was fast.,A,2022-10-01 00:00:00.000000
Amazon,Came quick and fresh…. Would recommend!,A,2022-10-05 00:00:00.000000
Amazon,,A,2022-10-16 00:00:00.000000
Amazon,Milks best friend. My grandson is obsessed with Oreos.,A,2022-09-26 00:00:00.000000
Amazon,Best of the best,A,2022-06-27 00:00:00.000000
Amazon,I love these!,A,2022-06-22 00:00:00.000000
Amazon,Good deal and fast delivery. Fresh and not smashed.,A,2022-09-13 00:00:00.000000
Amazon,Hard to top a 3-pack of Oreos,A,2022-09-21 00:00:00.000000
Amazon,Oreos are my favorite store bought cookie and have been eating for years.,A,2022-08-22 00:00:00.000000
Amazon,The kids at work were happy to get them.,A,2022-09-02 00:00:00.000000
Amazon,Oreos is an old friend from as long as I can remember. They were not available for years when I lived abroad. I can remember the time the grocery had a few tiny packages of Oreos. That was wonderful—a taste of home!  Now I can buy these big family packages of Oreos whenever I wish.  They never change.  Same delicious chocolate cookies with creamy filings. I don’t know how old are Oreos but I know how old I am and can remember enjoying them in the 1930’s.  I still eat them the same way - open them and eat one side at a time. Maybe lick off some of the filling first.  Brings out the inner child.,A,2021-08-17 00:00:00.000000
Amazon,great,A,2022-09-21 00:00:00.000000
Amazon,"Dude, they’re Oreos.",A,2022-09-17 00:00:00.000000
Amazon,"They seem to not stay ""hard or as crisp"" as store bought but I popped them in the fridge & problem solved.",A,2022-07-10 00:00:00.000000
Amazon,I made chocolate covered Oreos for a wedding reception.,A,2022-08-07 00:00:00.000000
Amazon,"Oreo, nothing else need to be said",A,2022-08-05 00:00:00.000000
Amazon,"My Son loves Oreo cookies. Finding a 3 pack-family size-sold on amazon for an unbeatable price was great! The packages are 1lb. 3.1 oz. 160 calories for 3 cookies  They are fresh & full of the Oreo flavor we love. They come packaged together in one box~see picture~ very secure, avoiding a crushed cookie package. I take advantage of subscribe & save which gives additional savings as well as the convenience of ordering when I need them. Definitely recommend this 3 pack!",A,2021-06-03 00:00:00.000000
Amazon,No other brand can compare to Oreos. Their are cookies that looked the same but only let me down in taste and quality.Oreos never let me down.,A,2022-05-18 00:00:00.000000
Amazon,"If you have a toddler who likes the inside creme or a husband who dunks them in milk or you like to dunk them in coffee, then you probably have 2 or 3 packages of Oreos in your pantry. The great thing about Oreo cookies is that all ages love them - -from toddlers on up. So I'm always on the look out for a good deal on these!",A,2021-12-07 00:00:00.000000
Amazon,I ate them:),A,2022-07-27 00:00:00.000000
Amazon,Appetizers. Munching.,A,2022-07-28 00:00:00.000000
Amazon,Oreos are good,A,2022-03-23 00:00:00.000000
Amazon,We were using these for the minute to win it game face the cookie but a lot came broken which couldn’t be used for the game. Luckily we had enough.,A,2022-08-10 00:00:00.000000
Amazon,"I won't buy multipackages like this again, almost all the cookies came broken and I don't think they are as fresh as you would get in store.",A,2022-08-14 00:00:00.000000
Amazon,Great item,A,2022-07-21 00:00:00.000000
Amazon,"I never liked Oreos growing up. They were too sweet for me. The price was good and I decided to try the 3 packs of cookies, thinking I'd give some away to be kids or neighbor kids.These seem to have less filling and son of a gun, they have become addicting. I have eaten 5 out of 6 packs in the last month all by myself.My weight is low but I really can't keep buying them.They are good and come well packaged. 😁",A,2021-05-02 00:00:00.000000
Amazon,"The third package was a bunch of broken cookies, O.K. if you have some ice cream handy",A,2022-05-21 00:00:00.000000
Amazon,Love this with a glass of milk,A,2022-06-20 00:00:00.000000
Amazon,OMgosh who doesn't like Oreos (with milk),A,2022-06-15 00:00:00.000000
Amazon,"How’d you expect I’m gonna be like some hater who doesn’t like Oreos, nah. They’re delicious. It’s an Oreo.",A,2022-04-26 00:00:00.000000
Amazon,Always the best in freshness but sometimes the price is not good.  Right good.,A,2022-04-27 00:00:00.000000
Amazon,In a package of THREE!!,A,2022-06-12 00:00:00.000000
Amazon,The flavor and freshness was awesome,A,2022-05-24 00:00:00.000000
Amazon,Can't mess up Oreos. They were just fine!,A,2022-05-09 00:00:00.000000
Amazon,Great offer and price in my opinion,A,2022-05-14 00:00:00.000000
Amazon,"These cookies bring back many memories of my children and are excellent to make recipes, I use them for ice cream, smoothies or as my custom, dip them into milk. its flavor is unique. the packaging is very smart it is just a matter of pulling the tape from above. It makes it more comfortable to serve it and it keeps it away from insects, it preserves its freshness and they do not get old or stale, I am very satisfied with the purchase",A,2020-10-20 00:00:00.000000
Amazon,Oreos delivered what’s to dislike.,A,2022-05-23 00:00:00.000000
Amazon,"Are you wanting to make a cookie crust? Have some crushed oreos on your sundae? Perhaps you want to try your hand at a DIY oreo McFlurry. Then these are the oreos for you! The warehouse employees and delivery drivers have taken it upon themselves to help you out and supply you with precrumbled cookies. We have had these delivered several times (because it takes us awhile to learn lessons) and they have been extremely consistent with their quality! Fortunately, broken oreos still taste like oreos. Added bonus, broken oreos have slightly less calories. Unless you dump the crumbs from the package into your mouth.",A,2021-11-08 00:00:00.000000
Amazon,Great if you don’t want to bulk buy at the store!,A,2022-04-05 00:00:00.000000
Amazon,It's delicious Oreo cookies with cream in the middle. Kids will likely just eat the cream leaving you the satisfaction of just the cookies. That's just how it is.,A,2022-01-08 00:00:00.000000
Amazon,Nothing product is good.,A,2022-05-09 00:00:00.000000
Amazon,Love the Price,A,2022-05-16 00:00:00.000000
Amazon,very nice!,A,2022-05-19 00:00:00.000000
Amazon,Item is excellent as all Amazon items are ~~!,A,2022-03-25 00:00:00.000000
Amazon,It was kind of competitive price wise it would equal the price at the store when they were on sale,A,2022-01-30 00:00:00.000000
Amazon,Fresh,A,2022-05-17 00:00:00.000000
Amazon,Didn't satisfy,A,2021-11-29 00:00:00.000000
Amazon,Oreos are always a favorite in our home! Purchased off Amazon because the price beat our local grocery store. A few arrived broken but no different but not enough that I would complain or return.,A,2021-04-25 00:00:00.000000
Amazon,Make sure you have milk when you get these!,A,2022-02-20 00:00:00.000000
Amazon,"Very, very disappointed.  The best part of the Oreo is missing .. where is the cream.  The package shows cream, not thin, which these are not .. all cookies not even enough to twist apart and scrap a taste.  Will not order any more from this",A,2022-09-17 00:00:00.000000
Amazon,Not disappointed at all! I will buy again,A,2021-09-15 00:00:00.000000
Amazon,Perfect cookies,A,2022-03-24 00:00:00.000000
Amazon,,A,2022-03-26 00:00:00.000000
Amazon,Very reasonable for a family who loves oreos,A,2022-02-05 00:00:00.000000
Amazon,this are the classic cookies from my childhood.  very fresh and great value for the 3 package price.  good with milk or ice cream.,A,2021-04-25 00:00:00.000000
Amazon,THE TASTE IS GOOD AND CRUNCHY. BUT I COULD NO FIND THE EXPIERY DATE ELSEWHERE IN THE PACKAGES ( I BOUGHT THREE FAMILY SIZE WHICH ARRIVED THREE DAYS AGO. I NEED TO KNOW THE EXPIRATION DATE OF ALL FOOD AND MEDICINES I BUY). ALSO THERE WAS NO MENTION OF THE PERCENTAGE OF CACOA IN THIS COOKIES.,A,2020-05-06 00:00:00.000000
Amazon,not sure you really need a review for Oreos.They are awesome….,A,2021-12-31 00:00:00.000000
Amazon,"I'm not a big oreos fan but they're allergy friendly so I buy them often. They get to me quuckly and intact which is great, the price is good too! I'll throw a handful into a glass of milk and make my own cookies n cream milk.",A,2021-02-05 00:00:00.000000
Amazon,"Oreo's are always fresh,not broken up like some products from othershippers.. Amazon has the best shipping for their products.Alwayspackaged and boxed very well.Thank you for expert shipping.Gwendolyn Reed",A,2021-08-18 00:00:00.000000
Amazon,Oreos was a good deal for what I paid for 3 packs.But one pack was mostly crumbled cookies. Brings down value that I thought I got.  Box even has an inspection sticker on it.,A,2022-09-28 00:00:00.000000
Amazon,"3 family size packs of ores for less than $9, couldn't pass that deal up, especially when my household loves them",A,2021-05-10 00:00:00.000000
Amazon,"I love these cookies! They are decadence personified! Even when I take out the cream in the center to lower the calories, still decadence. I love these cookies!",A,2021-08-26 00:00:00.000000
Amazon,"It's incredibly delicious. Too bad it contains too much sugar and other additives, and I can only take very limited amount each day to stay healthy. Actually, if it's to stay healthy, I shouldn't have bought it in the first place. Anyway, you know what I mean. Even so, I can't help eating more than what's recommended for daily intake (25g sugar, about 5 cookies).",A,2020-04-24 00:00:00.000000
Amazon,"Not much to say, I love oreos and these are just as you would expect. Came mailed to me directly from Nabisco and were packaged in a well formed box with no broken cookies.",A,2021-04-22 00:00:00.000000
